,N,time,I,rel_err
0,2,0.0340334479988087,0.12322156224320949,0.3607703277189129
1,4,0.15572575401165523,0.1731873745734549,0.10156545107500221
2,6,1.0171395739889704,0.18305751651902732,0.050362662485266045
3,8,5.071487505018013,0.18697491518510728,0.03004059043938386
4,10,12.613005973980762,0.18900546298057688,0.019506830128122703
5,12,37.48466413997812,0.19018814306026832,0.01337150619624169
6,14,95.09431587799918,0.190935805044237,0.009492901540621393
7,16,228.840714416001,0.1914371182912647,0.006892266580522529
8,18,480.1660545410123,0.1917884087168927,0.0050698967001077825
