,d-values,s*,i*,r*,n*
0,0.0,3.6840808320285324e+106,7.017296822911489e+105,8.771621028639365e+105,5.262972617183618e+106
1,0.05,1.5659974044643613e+89,2.9828521989797368e+88,3.728565248724672e+88,2.2371391492348022e+89
2,0.1,6.654747346490316e+71,1.2675709231410126e+71,1.5844636539262674e+71,9.506781923557596e+71
3,0.15000000000000002,2.8275355075281208e+54,5.385781919101184e+53,6.732227398876476e+53,4.039336439325887e+54
4,0.2,1.2013151192532776e+37,2.2882192747681473e+36,2.860274093460185e+36,1.7161644560761108e+37
5,0.21000000000000002,4.0300030979752657e+33,7.676196377095747e+32,9.595245471369683e+32,5.757147282821809e+33
6,0.22000000000000003,1.35192820805905e+30,2.575101348683904e+29,3.218876685854883e+29,1.9313260115129288e+30
7,0.23000000000000004,4.535255570862296e+26,8.638582039737704e+25,1.0798227549672142e+26,6.47893652980328e+26
8,0.24000000000000005,1.5214225357573817e+23,2.897947687156916e+22,3.6224346089461475e+22,2.173460765367688e+23
9,0.25000000000000006,5.103850111462716e+19,9.721619259928982e+18,1.2152024074911232e+19,7.2912144449467376e+19
10,0.26000000000000006,1.7121665080001092e+16,3261269539047826.5,4076586923809781.5,2.44595215428587e+16
11,0.2700000000000001,5743731419466.205,1094044079898.325,1367555099872.9055,8205330599237.436
12,0.2800000000000001,1926825139.1219344,367014312.21370196,458767890.2671273,2752607341.6027637
13,0.2900000000000001,646383.9208785536,123120.74683401024,153900.93354251282,923405.6012550767
14,0.3000000000000001,216.83972544807224,41.302804847251856,51.62850605906481,309.7710363543889
15,0.3100000000000001,0.07274233151522841,0.013855682193376836,0.01731960274172105,0.1039176164503263
16,0.3200000000000001,2.440257462073935e-05,4.6481094515694e-06,5.810136814461751e-06,3.48608208867705e-05
17,0.3300000000000001,8.186233903928414e-09,1.5592826483673171e-09,1.9491033104591455e-09,1.1694619862754877e-08
18,0.34000000000000014,2.7462035497914307e-12,5.230863904364629e-13,6.538579880455783e-13,3.923147928273472e-12
19,0.35000000000000014,9.21258244683773e-16,1.7547776089214723e-16,2.1934720111518416e-16,1.3160832066911043e-15
20,0.36000000000000015,3.090510068265657e-19,5.886685844315537e-20,7.358357305394426e-20,4.415014383236653e-19
21,0.37000000000000016,1.036762032975898e-22,1.974784824715996e-23,2.468481030894995e-23,1.4810886185369971e-22
22,0.38000000000000017,3.4779889821848833e-26,6.6247409184474e-27,8.280926148059253e-27,4.9685556888355486e-26
23,0.3900000000000002,1.1667493831546926e-29,2.2223797774375098e-30,2.7779747217968896e-30,1.6667848330781326e-29
24,0.4,3.914058419163539e-33,7.455349369835312e-34,9.319186712294137e-34,5.591512027376484e-33
25,0.45,1.6629751017600823e-50,3.167571622400158e-51,3.9594645280001954e-51,2.3756787168001176e-50
26,0.5,7.066126251221446e-68,1.3459288097564657e-68,1.6824110121955822e-68,1.0094466073173494e-67
27,0.55,3.003056980956144e-85,5.720108535154563e-86,7.150135668943198e-86,4.2900814013659203e-85
28,0.6,1.2767811669120718e-102,2.4319641274515657e-103,3.0399551593144557e-103,1.823973095588674e-102
29,0.6499999999999999,5.432133532994952e-120,1.0346921015228481e-120,1.2933651269035603e-120,7.76019076142136e-120
30,0.7,2.313740046126021e-137,4.407123897382896e-138,5.508904871728625e-138,3.305342923037173e-137
31,0.75,9.872121831483947e-155,1.8804041583778953e-155,2.3505051979723682e-155,1.410303118783421e-154
32,0.7999999999999999,2.9744295514056685e-168,1.6202279478912554e-212,0.0,2.9744295514056685e-168
33,0.8499999999999999,1.2384304224204732e-179,4.235502550149941e-290,0.0,1.2384304224204732e-179
34,0.8999999999999999,4.7524967049394685e-192,0.0,0.0,4.7524967049394685e-192
35,0.9499999999999998,4.066385123326906e-205,0.0,0.0,4.066385123326906e-205
