,di-values,s*,i*,r*,n*
0,0.0,130.0,119.99999999999999,150.0,400.0
1,0.2,1.5493239687859063e-17,1.1694043178887304e-17,1.568722872472944e-17,4.2874511591475806e-17
2,0.4,6.571687926708652e-33,4.058057148121647e-33,5.787887022865737e-33,1.6417632097696037e-32
3,0.6000000000000001,4.4655095096018596e-45,2.258191946920727e-45,3.390484441666822e-45,1.0114185898189408e-44
4,0.8,2.3653402827557267e-54,9.801898292116745e-55,1.5332855996479538e-54,4.878815711615355e-54
5,1.0,5.4817377854615595e-61,1.860443643074559e-61,3.0001641301250988e-61,1.0342345558661217e-60
6,1.2000000000000002,3.7538729349581117e-65,1.0405467887127978e-65,1.7112394308442124e-65,6.505659154515122e-65
7,1.4000000000000001,6.377887571801075e-67,1.4349040202628353e-67,2.3799550433332265e-67,1.0192746635397137e-66
8,1.6,2.913987039999078e-66,5.2587484217243087e-67,8.695684307499393e-67,4.309430312921448e-66
9,1.8,5.311275249865528e-63,7.529988736463139e-64,1.2262094158512144e-63,7.290483539363057e-63
10,2.0,8.677783615027838e-57,9.313633376663296e-58,1.4738412701676522e-57,1.108298822286182e-56
11,2.2,5.177359658209825e-47,3.9206950518506823e-48,5.939969921040931e-48,6.163426155498986e-47
12,2.4000000000000004,1.1497582665422134e-32,5.245961865280383e-34,7.47918853281131e-34,1.2770097705231303e-32
13,2.6,4.113164754581179e-12,6.40158259960363e-14,8.412715427263317e-14,4.261307734849848e-12
14,2.8000000000000003,120.03215040947626,2.2195994911846626e-35,1.4210854715202004e-14,120.03215040947627
15,3.0,154.29529157356563,2.1958939003906696e-104,2.842170943040401e-14,154.29529157356566
16,3.2,171.64985587191072,1.2622954806517112e-173,2.842170943040401e-14,171.64985587191075
17,3.4000000000000004,184.25322151395085,6.560804621558511e-243,2.842170943040401e-14,184.25322151395088
18,3.6,194.40527581277814,3.77041833904e-312,2.842170943040401e-14,194.40527581277817
19,3.8000000000000003,202.9727556411603,5e-324,2.842170943040401e-14,202.97275564116032
20,4.0,210.42782051534923,5e-324,2.842170943040401e-14,210.42782051534925
21,4.2,217.10174841745376,5e-324,2.842170943040401e-14,217.1017484174538
22,4.4,223.27575002260517,5e-324,2.842170943040401e-14,223.2757500226052
23,4.6000000000000005,229.22926469673084,0.0,2.842170943040401e-14,229.22926469673087
24,4.800000000000001,235.28121951845088,0.0,2.842170943040401e-14,235.2812195184509
25,5.0,241.84347923266324,0.0,2.842170943040401e-14,241.84347923266327
26,5.2,249.51162360904345,0.0,2.842170943040401e-14,249.51162360904348
27,5.4,259.2506415817914,0.0,5.684341886080802e-14,259.25064158179146
28,5.6000000000000005,272.8440829026014,0.0,5.684341886080802e-14,272.84408290260143
29,5.800000000000001,294.19029589813636,0.0,5.684341886080802e-14,294.1902958981364
30,6.0,314.7314747340426,0.0,0.0,314.73147473404254
31,6.2,323.6120379809004,0.0,0.0,323.61203798090037
32,6.4,333.894968482282,0.0,0.0,333.89496848228197
