,e-values,s*,i*,r*,n*
0,0.0,9.161919007930145e-158,1.6522594431848433e-158,4.836247627697716e-158,1.5650426078812704e-157
1,0.05,1.2002369492128679e-143,2.253964710539801e-144,5.896773653929328e-144,2.0153107856597808e-143
2,0.1,4.0790831014879585e-129,7.896748680856941e-130,1.8623361489188e-129,6.731094118492453e-129
3,0.15000000000000002,3.58135622504085e-114,7.084459301930505e-115,1.5170256921068447e-114,5.806827847340745e-114
4,0.2,8.069366732743676e-99,1.6182972816315672e-99,3.166007412818109e-99,1.2853671427193352e-98
5,0.25,4.6241978095821854e-83,9.335173536880596e-84,1.677582025406421e-83,7.235297188676666e-83
6,0.30000000000000004,6.664477262230143e-67,1.3454695648270196e-67,2.231522243000372e-67,1.0241469070057535e-66
7,0.35000000000000003,2.3836648791550163e-50,4.7831963255388683e-51,7.352572305545691e-51,3.597241742263472e-50
8,0.4,2.0837560459075045e-33,4.132087787368943e-34,5.9091012422986316e-34,3.087874948874262e-33
9,0.41000000000000003,5.663744947374587e-30,1.1197057493294305e-30,1.578933637829486e-30,8.362384334533503e-30
10,0.42000000000000004,1.5941497056482811e-26,3.141311527782491e-27,4.3685460450514696e-27,2.3451354629316772e-26
11,0.43000000000000005,4.645788007711219e-23,9.12278995089277e-24,1.2513427321752018e-23,6.809409734975698e-23
12,0.44000000000000006,1.4016182887533001e-19,2.74214006621675e-20,3.7103646821200186e-20,2.046868763586977e-19
13,0.45000000000000007,4.376978217728164e-16,8.529656126211496e-17,1.1386532170555607e-16,6.368597047404875e-16
14,0.4600000000000001,1.4145765448692968e-12,2.745281728192807e-13,3.6160421430672947e-13,2.050708931995307e-12
15,0.4700000000000001,4.73062097737503e-09,9.140887620756248e-10,1.188157955032025e-09,6.8328676944826796e-09
16,0.4800000000000001,1.6367438889542653e-05,3.1482369492721228e-06,4.038723819600925e-06,2.35543996584157e-05
17,0.4900000000000001,0.05857934210924298,0.011213846393198782,0.014199499800825823,0.08399268830326759
18,0.5000000000000001,216.8397254480758,41.30280484725254,51.628506059065636,309.77103635439397
19,0.5100000000000001,830027.2245895086,157279.0625314435,194098.19532263576,1181404.4824435879
20,0.5200000000000001,3284979296.4976387,619093823.7096287,754389767.724851,4658462887.932118
21,0.5300000000000001,13439608010458.303,2518622704886.7485,3030668987349.1167,18988899702694.168
22,0.5400000000000001,5.68303442312582e+16,1.0588071781597162e+16,1.2582730236298766e+16,8.000114624915413e+16
23,0.5500000000000002,2.4833559242413045e+20,4.598783536233439e+19,5.397956327583782e+19,3.4830299106230265e+20
24,0.5600000000000002,1.1212105493281932e+24,2.0633162142337112e+23,2.392354859307328e+23,1.566777656682297e+24
25,0.5700000000000002,5.229362003787526e+27,9.561124433223041e+26,1.0951824519564769e+27,7.280656899066307e+27
26,0.5800000000000002,2.5191072794960075e+31,4.575045040685378e+30,5.177667469831287e+30,3.494378530547674e+31
27,0.5900000000000002,1.253151172263067e+35,2.2602013898111732e+34,2.5274936756615335e+34,1.7319206788103376e+35
