,di-values,s*,i*,r*
0,0.0,200.0,120.0,80.0
1,0.05,200.0,124.0,76.0
2,0.1,200.00000000000003,127.99999999999997,71.99999999999999
3,0.15000000000000002,199.99999999999997,132.00000000000003,68.0
4,0.2,200.00000000000003,135.99999999999997,64.0
5,0.25,200.0,140.0,60.0
6,0.30000000000000004,200.0,144.0,56.0
7,0.35000000000000003,200.0,148.00000000000003,51.99999999999998
8,0.4,200.0,152.0,48.0
9,0.45,200.0,156.0,44.0
10,0.5,200.0,160.0,40.0
11,0.55,200.0,164.0,36.0
12,0.6000000000000001,200.0,168.0,32.0
13,0.65,200.0,172.0,28.0
14,0.7000000000000001,200.0,176.0,24.0
15,0.75,200.0,180.0,20.0
16,0.8,200.0,184.0,16.0
17,0.8500000000000001,200.0,188.0,12.0
18,0.9,200.0,192.0,8.0
19,0.9500000000000001,200.0,196.0,4.0
